epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
174,23721.8,0.56362,0.74596,0.98795,0.7546,0.0065746,0.0065746,0.0065746
175,23858.3,0.54643,0.74659,0.98795,0.75914,0.0065548,0.0065548,0.0065548
176,23996.1,0.54782,0.74611,0.98779,0.75773,0.006535,0.006535,0.006535
177,24131.6,0.55219,0.74738,0.98795,0.75774,0.0065152,0.0065152,0.0065152
178,24265.2,0.54996,0.74659,0.98827,0.75534,0.0064954,0.0064954,0.0064954
179,24401,0.55804,0.74722,0.98827,0.75569,0.0064756,0.0064756,0.0064756
180,24531.2,0.54374,0.74707,0.98779,0.75471,0.0064558,0.0064558,0.0064558
181,24659.4,0.52989,0.74738,0.98779,0.75621,0.006436,0.006436,0.006436
182,24790.1,0.53812,0.7477,0.98779,0.75261,0.0064162,0.0064162,0.0064162
183,24919.6,0.51713,0.74818,0.98779,0.76124,0.0063964,0.0063964,0.0063964
184,25052,0.54346,0.74786,0.98779,0.75658,0.0063766,0.0063766,0.0063766
185,25177.9,0.53221,0.74786,0.98779,0.75312,0.0063568,0.0063568,0.0063568
186,25309.2,0.5283,0.74849,0.98779,0.75355,0.006337,0.006337,0.006337
187,25438.5,0.53321,0.74802,0.98795,0.75737,0.0063172,0.0063172,0.0063172
188,25568.2,0.52019,0.74818,0.98795,0.75276,0.0062974,0.0062974,0.0062974
189,25694.9,0.51781,0.74944,0.98795,0.76465,0.0062776,0.0062776,0.0062776
190,25827.4,0.51533,0.7496,0.98795,0.75973,0.0062578,0.0062578,0.0062578
191,25955.7,0.53129,0.74913,0.98779,0.76148,0.006238,0.006238,0.006238
192,26086.7,0.525,0.75024,0.98779,0.7584,0.0062182,0.0062182,0.0062182
193,26216.4,0.52828,0.75167,0.98779,0.75531,0.0061984,0.0061984,0.0061984
194,26349.5,0.51927,0.75214,0.98811,0.7594,0.0061786,0.0061786,0.0061786
195,26478.2,0.49421,0.75167,0.98795,0.75572,0.0061588,0.0061588,0.0061588
196,26607.5,0.50954,0.75167,0.98795,0.7587,0.006139,0.006139,0.006139
197,26736.3,0.49922,0.75182,0.98779,0.76627,0.0061192,0.0061192,0.0061192
198,26867.5,0.50132,0.75151,0.98779,0.76132,0.0060994,0.0060994,0.0060994
199,26996.7,0.48556,0.75182,0.98779,0.75773,0.0060796,0.0060796,0.0060796
200,27125.3,0.49705,0.75246,0.98763,0.76071,0.0060598,0.0060598,0.0060598
201,27260.9,0.49614,0.75119,0.98811,0.75884,0.00604,0.00604,0.00604
202,27393.4,0.49026,0.75309,0.98811,0.76209,0.0060202,0.0060202,0.0060202
203,27522.6,0.49687,0.75325,0.98795,0.76545,0.0060004,0.0060004,0.0060004
204,27649.4,0.50145,0.75246,0.98795,0.76026,0.0059806,0.0059806,0.0059806
205,27780.3,0.48956,0.75262,0.98795,0.75986,0.0059608,0.0059608,0.0059608
206,27910.8,0.51213,0.75214,0.98811,0.76449,0.005941,0.005941,0.005941
207,28040.6,0.48611,0.75309,0.98827,0.76676,0.0059212,0.0059212,0.0059212
208,28171.4,0.48198,0.75468,0.98827,0.76395,0.0059014,0.0059014,0.0059014
209,28300.3,0.47011,0.75436,0.98827,0.76265,0.0058816,0.0058816,0.0058816
210,28432,0.48014,0.75436,0.98811,0.76063,0.0058618,0.0058618,0.0058618
211,28561.6,0.4701,0.75404,0.98779,0.76184,0.005842,0.005842,0.005842
212,28688.8,0.48,0.75373,0.98795,0.76664,0.0058222,0.0058222,0.0058222
213,28822,0.4783,0.75389,0.98763,0.77774,0.0058024,0.0058024,0.0058024
214,28950.8,0.46921,0.75262,0.98795,0.76364,0.0057826,0.0057826,0.0057826
215,29082.5,0.46407,0.75246,0.98763,0.76241,0.0057628,0.0057628,0.0057628
216,29207.5,0.45998,0.75293,0.98827,0.77463,0.005743,0.005743,0.005743
217,29339.5,0.47884,0.75309,0.98811,0.76587,0.0057232,0.0057232,0.0057232
218,29470.7,0.46372,0.75404,0.98811,0.77813,0.0057034,0.0057034,0.0057034
219,29599.9,0.46339,0.75373,0.98811,0.77398,0.0056836,0.0056836,0.0056836
220,29732.4,0.44834,0.75389,0.98811,0.76626,0.0056638,0.0056638,0.0056638
221,29863.3,0.46005,0.75436,0.98827,0.77279,0.005644,0.005644,0.005644
222,29992.4,0.46444,0.75531,0.98811,0.77545,0.0056242,0.0056242,0.0056242
223,30121.4,0.46143,0.75484,0.98811,0.77022,0.0056044,0.0056044,0.0056044
224,30252.8,0.47267,0.75468,0.98779,0.76956,0.0055846,0.0055846,0.0055846
225,30385.5,0.45642,0.75484,0.98763,0.77336,0.0055648,0.0055648,0.0055648
226,30514.1,0.45931,0.75563,0.98763,0.77492,0.005545,0.005545,0.005545
227,30645.4,0.45094,0.75563,0.98779,0.77261,0.0055252,0.0055252,0.0055252
228,30775,0.43379,0.7569,0.98779,0.78029,0.0055054,0.0055054,0.0055054
229,30904.3,0.45209,0.75611,0.98763,0.77313,0.0054856,0.0054856,0.0054856
230,31033.2,0.43905,0.75611,0.98731,0.78392,0.0054658,0.0054658,0.0054658
231,31166.4,0.44171,0.75626,0.98731,0.78206,0.005446,0.005446,0.005446
232,31293.1,0.44045,0.75563,0.98747,0.77974,0.0054262,0.0054262,0.0054262
233,31428,0.44152,0.75515,0.98763,0.78538,0.0054064,0.0054064,0.0054064
234,31561.2,0.43475,0.75658,0.98763,0.78143,0.0053866,0.0053866,0.0053866
235,31690.7,0.43428,0.75642,0.98747,0.78195,0.0053668,0.0053668,0.0053668
236,31820.5,0.43321,0.75706,0.98731,0.77784,0.005347,0.005347,0.005347
237,31952.4,0.43438,0.75769,0.98747,0.78284,0.0053272,0.0053272,0.0053272
238,32081.8,0.43104,0.75753,0.98763,0.78301,0.0053074,0.0053074,0.0053074
239,32215.1,0.43148,0.75722,0.98779,0.78344,0.0052876,0.0052876,0.0052876
240,32343,0.41724,0.75833,0.98747,0.7829,0.0052678,0.0052678,0.0052678
241,32472,0.42587,0.75801,0.98731,0.78192,0.005248,0.005248,0.005248
242,32603,0.42998,0.75737,0.98731,0.79338,0.0052282,0.0052282,0.0052282
243,32732.7,0.40875,0.75753,0.987,0.78583,0.0052084,0.0052084,0.0052084
244,32862.2,0.43817,0.75769,0.987,0.7875,0.0051886,0.0051886,0.0051886
245,32992.2,0.41776,0.75785,0.98652,0.78806,0.0051688,0.0051688,0.0051688
246,33120.6,0.41612,0.75848,0.98668,0.78647,0.005149,0.005149,0.005149
247,33251.2,0.40673,0.75737,0.98652,0.78947,0.0051292,0.0051292,0.0051292
248,33382,0.42532,0.75753,0.98684,0.80016,0.0051094,0.0051094,0.0051094
249,33509.6,0.42179,0.75753,0.98684,0.78572,0.0050896,0.0050896,0.0050896
250,33641.9,0.42075,0.75753,0.98684,0.78797,0.0050698,0.0050698,0.0050698
251,33773.9,0.42492,0.75769,0.98684,0.79265,0.00505,0.00505,0.00505
252,33901.1,0.40435,0.75674,0.987,0.78978,0.0050302,0.0050302,0.0050302
253,34031.1,0.40121,0.7569,0.98668,0.79182,0.0050104,0.0050104,0.0050104
